,Gene_Symbol
1065,FBXO11
1066,4930513N10RIK
1067,NOP58
1068,SEC14L1
1069,CRELD2
1070,MARF1
1071,RPL24
1072,ZMYND11
1073,4930463O16RIK
1074,PSMG4
1075,TRAPPC6A
1076,SRSF7
1077,USP47
1078,UGT1A6A
1079,DEFB25
1080,NLRC3
1081,TGOLN1
1082,SPCS2
1083,IL17RE
1084,CD200
1085,NPY
1086,LOXL2
1087,BCL7A
1088,MDFIC
1089,ANO1
1090,PNMT
1091,CEACAM4
1092,4930548H24RIK
1093,STARD6
1094,FAM171A2
1095,SLC44A3
1096,IGFBP5
1097,AIM1
1098,FKBP1A
1099,COL13A1
1100,TIMP2
1101,KCNQ1OT1
1102,MRPL4
1103,GATA3
1104,SWT1
1105,1700011H14RIK
1106,RABAC1
1107,PRG4
1108,COL17A1
1109,GPSM1
1110,YPEL3
1111,SCML4
1112,RPL27
1113,EIF5A
1114,AEBP2
1115,CTSB
1116,GPR35
1117,MANF
1118,CHIC2
1119,ATXN7
1120,FCGR3A
1121,IQGAP2
1122,TOP2B
1123,CRIP2
1124,TCIRG1
1125,LY6C2
1126,PLAT
1127,EIF4H
1128,CCT5
1129,E330013P04RIK
1130,ALDOB
1131,SCGB2A1
1132,ZP3
1133,SLC38A2
1134,PRDX1
1135,RAB6A
1136,TRIM2
1137,ID3
1138,EIF4B
1139,JAKMIP1
1140,BEX3
1141,SPSB4
1142,IIGP1
1143,RCN3
1144,CSN1S1
1145,COQ10B
1146,DHX15
1147,2300009A05RIK
1148,ITPKC
1149,SEC61G
1150,IL17RB
1151,JDP2
1152,RTN4RL2
1153,SERPINA5
1154,GABARAP
1155,CFL1
1156,APOA1BP
1157,MMP3
1158,1700071M16RIK
1159,NIT1
1160,HIST1H2AE
1161,COL3A1
1162,ALDH3B1
1163,HMGN3
1164,GPER1
1165,FAM124A
1166,RELL1
1167,TUBA1B
1168,PLA2G10
1169,LMBRD1
1170,POLD4
1171,PPP2R2B
1172,RGS16
1173,EIF4A1
1174,F7
1175,PRAP1
1176,RTN4
1177,MEST
1178,LGALS9B
1179,TSPO2
1180,SRRM2
1181,PTPRZ1
1182,CLCN5
1183,MYL9
1184,CPSF7
1185,SAA2
1186,SYT17
1187,TFCP2L1
1188,GLIPR2
1189,SRSF5
1190,TMEM8C
1191,VWF
1192,ANTXR2
1193,STEAP4
1194,FDPS
1195,NUGGC
1196,RPS2
1197,C1S2
1198,WFDC3
1199,TMCC3
1200,FOXD2OS
1201,ETNK2
1202,MICAL1
1203,PROK1
1204,EEF1B2
1205,FLNC
1206,IL17RC
1207,ATP6V1C2
1208,ALDH3A1
1209,CLMP
1210,EPHB1
1211,DNTT
1212,E330017A01RIK
1213,IDO2
1214,COL16A1
1215,ERFE
1216,ATP5L
1217,MXRA7
1218,EMX2OS
1219,FBXO7
1220,RSRC2
1221,UQCR10
