,ctypes,comparts,broadct,col_colors
retina_horizontal_cell,retina_horizontal_cell,Neural,neuron,#8c6d31
hematopoietic_cell,hematopoietic_cell,Immune,hematopoietic_cell,#c7c7c7
endothelial_cell_of_vascular_tree,endothelial_cell_of_vascular_tree,Endothelium,endothelial_cell,#d62728
supporting_cell_of_vestibular_epithelium,supporting_cell_of_vestibular_epithelium,Epithelium,ecto_epithelial_cell,#bd9e39
vestibular_dark_cell,vestibular_dark_cell,Epithelium,vestibular_dark_cell,#e7ba52
retinal_blood_vessel_endothelial_cell,retinal_blood_vessel_endothelial_cell,Endothelium,endothelial_cell,#d62728
keratocyte,keratocyte,Stromal,fibroblast,#ffbb78
acinar_cell,acinar_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
conjunctival_epithelial_cell,conjunctival_epithelial_cell,Epithelium,conjunctival_epithelial_cell,#e7cb94
schwann_cell,schwann_cell,Stromal,glial_cell,#6b6ecf
retinal_ganglion_cell,retinal_ganglion_cell,Neural,neuron,#8c6d31
enterocyte_of_epithelium_proper_of_duodenum,enterocyte_of_epithelium_proper_of_duodenum,Epithelium,intestinal_epithelial_cell,#bcbd22
transit_amplifying_cell_of_small_intestine,transit_amplifying_cell_of_small_intestine,Epithelium,stem_cell,#aec7e8
paneth_cell_of_colon,paneth_cell_of_colon,Epithelium,intestinal_epithelial_cell,#bcbd22
enteroglial_cell,enteroglial_cell,Neural,glial_cell,#6b6ecf
connective_tissue_cell,connective_tissue_cell,Stromal,connective_tissue_cell,#843c39
stratified_squamous_epithelial_cell,stratified_squamous_epithelial_cell,Epithelium,stratified_epithelial_cell,#ad494a
mural_cell,mural_cell,Stromal,contractile_cell,#98df8a
tongue_muscle_cell,tongue_muscle_cell,Stromal,contractile_cell,#98df8a
salivary_gland_cell,salivary_gland_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
myometrial_cell,myometrial_cell,Stromal,contractile_cell,#98df8a
epithelial_cell_of_uterus,epithelial_cell_of_uterus,Epithelium,endo_epithelial_cell,#8c564b
ciliated_epithelial_cell,ciliated_epithelial_cell,Epithelium,ciliated_epithelial_cell,#e377c2
mononuclear_phagocyte,mononuclear_phagocyte,Immune,myeloid_leukocyte,#1f77b4
interstitial_cell_of_cajal,interstitial_cell_of_cajal,Epithelium,ecto_epithelial_cell,#bd9e39
enteroendocrine_cell,enteroendocrine_cell,Epithelium,glandular_epithelial_cell,#dbdb8d
hepatocyte,hepatocyte,Epithelium,hepatocyte,#d6616b
intrahepatic_cholangiocyte,intrahepatic_cholangiocyte,Epithelium,duct_epithelial_cell,#9c9ede
hepatic_stellate_cell,hepatic_stellate_cell,Stromal,fibroblast,#ffbb78
